sequence,component_path,label,current_commandId,eventCalled,captureSource,lastSavedAtUtc,observed_commandId,observed_terminated_commandId,status,methodContext,evidence_line,notes
1,components.workspaceDropdown,DESIGN,SelectWorkspace,,,,,,missing,,,
2,components.workspaceDropdown.options[1],Design,ActivateEnvironmentCommand,ActivateEnvironmentCommand,command_terminated,2026-03-03T14:52:30.333902Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:52:30.333902Z;event=saved;commandId=ActivateEnvironmentCommand;source=command_terminated,saved from latest observed command (manual save fallback)
3,components.workspaceDropdown.options[2],Generative Design,GenerativeDesignWorkspace,,,,,,missing,,,
4,components.workspaceDropdown.options[3],Render,ActivateEnvironmentCommand,ActivateEnvironmentCommand,command_terminated,2026-03-03T14:52:50.940367Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:52:50.940367Z;event=saved;commandId=ActivateEnvironmentCommand;source=command_terminated,saved from latest observed command (manual save fallback)
5,components.workspaceDropdown.options[4],Animation,ActivateEnvironmentCommand,ActivateEnvironmentCommand,command_terminated,2026-03-03T14:53:01.472885Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:53:01.472885Z;event=saved;commandId=ActivateEnvironmentCommand;source=command_terminated,saved from latest observed command (manual save fallback)
6,components.workspaceDropdown.options[5],Simulation,SimCreateSimCaseCommand,SimCreateSimCaseCommand,command_terminated,2026-03-03T14:53:16.423474Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:53:16.423474Z;event=saved;commandId=SimCreateSimCaseCommand;source=command_terminated,saved from latest observed command (manual save fallback)
7,components.workspaceDropdown.options[6],Manufacture,ManufactureWorkspace,,,,,,missing,,,
8,components.workspaceDropdown.options[7],Drawing,DrawingWorkspace,,,,,,missing,,,
9,components.environmentTabs.solid,SOLID,SolidTab,,,,,,missing,,,
10,components.environmentTabs.surface,SURFACE,SurfaceTab,,,,,,missing,,,
11,components.environmentTabs.mesh,MESH,MeshTab,,,,,,missing,,,
12,components.environmentTabs.sheetMetal,SHEET METAL,SheetMetalTab,,,,,,missing,,,
13,components.toolbarGroups.create,CREATE,SolidCreatePanel,,,,,,missing,,,
14,components.toolbarGroups.create.tools[1],New Component,NewComponentCommand,,,,,,missing,,,
15,components.toolbarGroups.create.tools[2],Create Sketch,SketchCreate,SketchCreate,command_started,2026-03-03T14:53:38.445634Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:53:38.445634Z;event=saved;commandId=SketchCreate;source=command_started,saved from latest observed command (manual save fallback)
16,components.toolbarGroups.create.tools[3],Extrude,Extrude,Extrude,command_terminated,2026-03-03T14:53:54.123234Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:53:54.123234Z;event=saved;commandId=Extrude;source=command_terminated,saved from latest observed command (manual save fallback)
17,components.toolbarGroups.create.tools[4],Revolve,Revolve,Revolve,command_started,2026-03-03T14:54:06.804059Z,,,match,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:54:06.804059Z;event=saved;commandId=Revolve;source=command_started,saved from latest observed command (manual save fallback)
18,components.toolbarGroups.create.tools[5],Sweep,Sweep,Sweep,command_terminated,2026-03-03T14:54:20.668747Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:54:20.668747Z;event=saved;commandId=Sweep;source=command_terminated,saved from latest observed command (manual save fallback)
19,components.toolbarGroups.create.tools[6],Loft,SolidLoft,SolidLoft,command_terminated,2026-03-03T14:54:28.922948Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:54:28.922948Z;event=saved;commandId=SolidLoft;source=command_terminated,saved from latest observed command (manual save fallback)
20,components.toolbarGroups.create.tools[7],Hole,FusionHoleCommand,FusionHoleCommand,command_started,2026-03-03T14:54:34.732397Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:54:34.732397Z;event=saved;commandId=FusionHoleCommand;source=command_started,saved from latest observed command (manual save fallback)
21,components.toolbarGroups.create.tools[8],Rectangular Pattern,PatternRectangular,PatternRectangular,command_terminated,2026-03-03T14:54:44.722162Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:54:44.722162Z;event=saved;commandId=PatternRectangular;source=command_terminated,saved from latest observed command (manual save fallback)
22,components.toolbarGroups.create.tools[9],Mirror,MirrorCommand,MirrorCommand,command_terminated,2026-03-03T14:54:53.573369Z,,,match,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:54:53.573369Z;event=saved;commandId=MirrorCommand;source=command_terminated,saved from latest observed command (manual save fallback)
23,components.toolbarGroups.modify,MODIFY,SolidModifyPanel,,,,,,missing,,,
24,components.toolbarGroups.modify.tools[1],Press Pull,FusionPressPullCommand,FusionPressPullCommand,command_terminated,2026-03-03T14:55:06.257077Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:55:06.257077Z;event=saved;commandId=FusionPressPullCommand;source=command_terminated,saved from latest observed command (manual save fallback)
25,components.toolbarGroups.modify.tools[2],Fillet,FusionFilletEdgesCommand,FusionFilletEdgesCommand,command_started,2026-03-03T14:55:28.919259Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:55:28.919259Z;event=saved;commandId=FusionFilletEdgesCommand;source=command_started,saved from latest observed command (manual save fallback)
26,components.toolbarGroups.modify.tools[3],Chamfer,FusionChamferCommand,FusionChamferCommand,command_terminated,2026-03-03T14:55:39.477641Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:55:39.477641Z;event=saved;commandId=FusionChamferCommand;source=command_terminated,saved from latest observed command (manual save fallback)
27,components.toolbarGroups.modify.tools[4],Shell,FusionShellBodyCommand,FusionShellBodyCommand,command_started,2026-03-03T14:55:49.701449Z,,,replace,"{""event"": ""command_started"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:55:49.701449Z;event=saved;commandId=FusionShellBodyCommand;source=command_started,saved from latest observed command (manual save fallback)
28,components.toolbarGroups.modify.tools[5],Combine,FusionCombineCommand,FusionCombineCommand,command_terminated,2026-03-03T14:56:01.910106Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:56:01.910106Z;event=saved;commandId=FusionCombineCommand;source=command_terminated,saved from latest observed command (manual save fallback)
29,components.toolbarGroups.modify.tools[6],Split Body,FusionSplitBodyCommand,FusionSplitBodyCommand,command_terminated,2026-03-03T14:56:08.083831Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:56:08.083831Z;event=saved;commandId=FusionSplitBodyCommand;source=command_terminated,saved from latest observed command (manual save fallback)
30,components.toolbarGroups.modify.tools[7],Move/Copy,FusionMoveCommand,FusionMoveCommand,command_terminated,2026-03-03T14:56:14.051024Z,,,replace,"{""event"": ""command_terminated"", ""handler"": ""PaletteHTMLEventHandler.saveCapture"", ""source"": ""live_capture""}",session=20260303T145211.034146Z;utc=2026-03-03T14:56:14.051024Z;event=saved;commandId=FusionMoveCommand;source=command_terminated,saved from latest observed command (manual save fallback)
31,components.navigationBar.orbit,orbit,OrbitCommand,,,,,,missing,,,
32,components.navigationBar.pan,pan,PanCommand,,,,,,missing,,,
33,components.navigationBar.zoom,zoom,ZoomCommand,,,,,,missing,,,
